state,year,has_conflict,source_file,total_deaths,deaths_poaching,deaths_natural_other,deaths_scrutiny,deaths_seizure,deaths_unnatural_nonp,pct_adult_tiger_deaths,was_imputed,total_deaths_imputed,national_seizures
Uttar Pradesh,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,3.0,3.0
Uttar Pradesh,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,3.0,
Uttarakhand,2012,False,tigerdeaths_2012,12.0,6.0,5.0,1.0,,,,False,12.0,
Uttarakhand,2013,False,tigerdeaths_2013,9.0,1.0,0.0,8.0,,,,False,9.0,
Uttarakhand,2014,False,mortality_14-15,8.0,,3.0,5.0,,,,False,8.0,
Uttarakhand,2015,False,mortality_14-15,1.0,0.0,0.0,1.0,,,,False,1.0,
Uttarakhand,2016,False,tigerdeaths_16-18,4.0,,,,,,,False,4.0,
Uttarakhand,2017,False,tigerdeaths_16-18,7.0,,,,,,,False,7.0,
Uttarakhand,2018,False,tigerdeaths_16-18,4.0,,,,,,57.43,False,4.0,
Uttarakhand,2019,False,mortality_19-21,7.0,,,,,,43.75,False,7.0,10.0
Uttarakhand,2020,False,mortality_19-21|tigerdeaths_20-22,4.0,,,,,,20.75,False,4.0,4.0
Uttarakhand,2021,True,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,3.0,,,,,1.0,20.47,False,3.0,7.0
Uttarakhand,2022,True,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,6.0,,,,,1.0,49.59,False,6.0,5.0
Uttarakhand,2023,False,tigerdeaths_unnaturalcauses,2.0,1.0,,,,1.0,,False,2.0,3.0
Uttarakhand,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,2.0,
West Bengal,2012,False,tigerdeaths_2012,3.0,1.0,2.0,0.0,,,,False,3.0,
West Bengal,2013,False,tigerdeaths_2013,1.0,0.0,1.0,0.0,,,,False,1.0,
West Bengal,2019,False,mortality_19-21,2.0,,,,,,43.75,False,2.0,10.0
West Bengal,2020,False,mortality_19-21|tigerdeaths_20-22,1.0,,,,,,20.75,False,1.0,4.0
West Bengal,2021,False,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,1.0,,,,,,20.47,False,1.0,7.0
West Bengal,2022,False,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0.0,,,,,,49.59,False,0.0,5.0
West Bengal,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,3.0
West Bengal,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,
